"","add","crp","dsbG","gor","grxA","hemH","oxyR","rbsR","trxC","pval","z","inv_cof_var"
"T5135",0.12651171,0.058664204,0.139967587,0.111510748,0.106711342,0.063356418,0.293650873,0.066418391,0.101861889,0.428550587914167,0.180065463121939,4.14857143299598
"T5137",0.094863823,0.095598835,0.089293654,0.084744028,0.101881777,0.086462084,0.212161689,0.093299668,0.099116027,0.0153829080071584,2.16008853998496,13.2748915135899
"T1865",0.096693894,0.3420118,0.191261703,0.143765602,0.091518072,0.13999528,0.082049722,0.104258297,0.114076455,0.485062141496402,0.0374524122904882,3.49123952370336
"T5719",0.13486909,0.201522015,0.140976703,0.094421254,0.109637273,0.117702763,0.194423206,0.108017316,0.115255122,0.212486444053665,0.79782355837368,6.99594133263247
"T5720",0.124169748,0.18972096,0.130677273,0.138072374,0.101492386,0.108523881,0.185375726,0.101078629,0.123252948,0.115311394024174,1.19875612332246,8.84391924825008
"T5721",0.12837418,0.122331495,0.112211399,0.180539326,0.110922517,0.117745658,0.204470392,0.110907355,0.115395858,0.375873864821237,0.316335682882938,4.77666797263939
"T5732",0.10849227,0.143519686,0.103440481,0.117842579,0.101418595,0.101758152,0.212136988,0.104164149,0.114141644,0.0037573523436472,2.67313033874328,15.6396031802893
"T5756",0.128567564,0.175061306,0.130192626,0.096296287,0.202836359,0.115391193,0.174112875,0.121864396,0.132029402,0.466404400096733,0.0843114611192296,3.70722219748149
"T2409",0.08646947,0.17601246,0.04338985,0.06878241,0.054989966,0.038211636,0.07930106,0.050982664,0.064691601,0.497312071013347,0.00673768977567961,3.34966926013812
"T2411",0.060908342,0.31065934,0.055064703,0.072313984,0.047840132,0.053128079,0.065970168,0.047400588,0.054013497,0.229460412216888,0.740625034626235,6.73230196299257
"T2413",0.045715971,0.83638442,0.045693618,0.045858472,0.05543886,0.045864789,0.073819741,0.045829973,0.048534833,0.0251455123635577,1.95748030833208,12.3410298860997
"T2407",0.068358232,0.18384348,0.040832083,0.049359527,0.036851687,0.044535442,0.063699314,0.036993271,0.046043575,0.413541783772733,0.218443510451716,4.3254634844536
"T2408",0.081960683,0.175109109,0.05693887,0.054265351,0.052498309,0.057262279,0.07238277,0.052697193,0.056787582,0.31961960181365,0.468762784750927,5.47923479464254
"T2678",0.062330537,0.302354802,0.077510771,0.09834888,0.046997772,0.050083027,0.084561392,0.045315189,0.063567652,0.484963638067463,0.037699498146417,3.49237839154533
"T5731",0.143093788,0.23938331,0.119965869,0.108876397,0.110903288,0.115167876,0.238454118,0.105117466,0.100685065,0.155120877208744,1.01471488959163,7.99563660615281
"T5770",0.142183844,0.108076931,0.084107478,0.078825918,0.075128174,0.107187128,0.281143059,0.047771648,0.0910429,0.455059758760551,0.112887788860127,3.8389361743229
"T2339",0.047104342,0.389060324,0.056229366,0.059817685,0.045068402,0.046684379,0.053676804,0.044635816,0.05118362,0.123925372229013,1.15558549350799,8.64493723113545
"T2340",0.063800338,0.370332633,0.045601182,0.044827502,0.046945414,0.045480957,0.065595878,0.047937716,0.059311775,0.271623570439565,0.607910039126361,6.12059215891021
"T0601",0.048659532,0.788606514,0.061677539,0.058691759,0.040256755,0.062761081,0.043703084,0.039415054,0.037209706,0.388364912607051,0.283583184379625,4.62570519433987
"T0602",0.06453701,0.946603898,0.071964389,0.088110652,0.063913632,0.082366326,0.059385111,0.067555825,0.059958484,0.253101151118498,0.664762670572059,6.38263724215212
"T0603",0.066111625,0.935365574,0.062342603,0.055961171,0.053981461,0.080063991,0.056187699,0.058250564,0.053234128,0.275330262608693,0.596770636052196,6.06924843511753
"T4025",0.101226997,0.273889342,0.122818684,0.123568863,0.072855025,0.110378223,0.124615912,0.088137752,0.065830924,0.441095542271003,0.148192203559284,4.00166124180696
"T4026",0.10760675,0.270183141,0.136803898,0.135753822,0.081766584,0.107773939,0.109910828,0.088026165,0.069250359,0.451957304471067,0.120717737888254,3.87502596634625
"T4027",0.094074541,0.237640763,0.108507066,0.083689094,0.092902584,0.089786471,0.10077655,0.089641437,0.086071828,0.0586028179103576,1.56661103968927,10.5394357042009
"T4028",0.117186895,0.167720591,0.088902577,0.111723609,0.08516015,0.083126438,0.126193628,0.071973129,0.077631988,0.300057902915363,0.524233985191909,5.73491258769192
"T4030",0.097305033,0.165388029,0.107676903,0.112900297,0.076380809,0.092962096,0.118656631,0.086829669,0.076478038,0.27080350344443,0.610384690950913,6.13199832124376
"T4031",0.109800084,0.222367912,0.076940799,0.093022371,0.078599561,0.076235154,0.107940156,0.081179497,0.085656876,0.233596299887958,0.727054451609117,6.66975244741283
"T4032",0.105208004,0.172492245,0.111960649,0.119897939,0.097870617,0.079220889,0.080317774,0.090343308,0.09363441,0.209211395893443,0.809160570177461,7.04819587435362
"T4033",0.110735258,0.281038125,0.054787119,0.083625929,0.078480829,0.058486462,0.065441579,0.072479073,0.069701534,0.463905382631114,0.0905995805164459,3.73620539014958
"T4034",0.130215286,0.164534254,0.081927658,0.076859653,0.081518546,0.082772863,0.082019903,0.078808014,0.077908486,0.415091821116499,0.214466046093227,4.30713056032312
"T4087",0.132522554,0.110714126,0.093621195,0.085741667,0.081990411,0.107269885,0.084776775,0.076900449,0.083781908,0.357984022508303,0.363852649100573,4.99568311848706
"T4090",0.096513907,0.110643497,0.158089253,0.181962885,0.151144864,0.09115821,0.145317607,0.065529678,0.1470511,0.457016702312158,0.10795245816296,3.81618825376972
"T4093",0.122489891,0.258655155,0.080345728,0.08930686,0.088975813,0.13050393,0.089106162,0.079505137,0.09282296,0.365122400301978,0.344799910182191,4.90786525625455
"T4094",0.133890145,0.26846313,0.102277813,0.086337931,0.088872115,0.136568904,0.0998875,0.10177887,0.058519805,0.496105647939572,0.00976184802421876,3.36360820684689
"T4095",0.150370363,0.120044037,0.120132636,0.123165134,0.102267494,0.093641335,0.127536323,0.124698069,0.097997785,0.325669720733989,0.45190219725745,5.40152099422759
"T4097",0.136698475,0.124787957,0.104791692,0.108119627,0.094080044,0.132549624,0.109001576,0.100557622,0.107533867,0.227060910019447,0.748561042778538,6.76888060260866
"T4099",0.113008744,0.078523888,0.163471926,0.08981644,0.07974978,0.114551914,0.070780631,0.075820837,0.099622816,0.463242046255059,0.0922692834276947,3.74390138288099
"T6981",0.121237423,0.173187628,0.059671595,0.05926697,0.091423317,0.109053654,0.071515618,0.062988085,0.095105388,0.483081181470607,0.0424219093398563,3.51414492376766
"T4096",0.10994181,0.071908715,0.106880403,0.080519301,0.069614191,0.119310429,0.112705342,0.072595843,0.086159521,0.364837948454701,0.345556693193619,4.91135341963737
"T4102",0.09027123,0.11454778,0.09038676,0.057652851,0.084813479,0.09629504,0.216899068,0.123230111,0.112065825,0.360014517978785,0.358419987606062,4.97064290139677
"T4834",0.104779063,0.294723796,0.127644567,0.073053847,0.087184087,0.120131369,0.110846293,0.070337214,0.07648457,0.416259674778589,0.211471524963295,4.29332821698723
"T4838",0.096006091,0.285992359,0.13026536,0.116781157,0.090813584,0.128916123,0.130456741,0.088076875,0.086414937,0.315817383677783,0.479427171482276,5.52838907365616
"T4840",0.130578152,0.281623809,0.09033524,0.057953655,0.098129151,0.132856513,0.143270135,0.076472433,0.090790433,0.479522694510915,0.0513515528562103,3.55530342635692
"T4842",0.148164763,0.287252587,0.107075456,0.097575307,0.100225381,0.128270165,0.146076385,0.087663243,0.086331306,0.367369427578189,0.338828599370386,4.88034229735268
"T4844",0.122874553,0.293858076,0.082253647,0.136889226,0.08829644,0.127036625,0.095046755,0.064955035,0.077860729,0.433562902457373,0.16731042103562,4.08978090773321
"T4847",0.075737127,0.204109393,0.110941222,0.12488969,0.075949378,0.125798634,0.149551015,0.125054142,0.067114123,0.474755590146792,0.0633206401321706,3.61047132961491
"T4849",0.118728534,0.286519103,0.083049494,0.070246887,0.096655338,0.125480081,0.090783806,0.089209831,0.088642573,0.393395549465424,0.270479873197746,4.5653094275638
"T4851",0.07006539,0.253218823,0.113708663,0.096760083,0.087017528,0.117429261,0.151085967,0.090948046,0.08851365,0.327816957147395,0.44594923777252,5.37408262024037
"T4855",0.085277639,0.218385021,0.089146448,0.10791083,0.085143857,0.125334524,0.087909497,0.080131213,0.088987275,0.283671063701802,0.571970253376606,5.95493853991306
"T6968",0.132946631,0.288427689,0.058626048,0.090878722,0.067481484,0.112565234,0.133324652,0.058761566,0.098920492,0.495335853661972,0.0116915474398392,3.37250257516617
"T6973",0.099989169,0.264389519,0.108095224,0.058636748,0.060704617,0.116314196,0.132874198,0.064844742,0.073982588,0.488995678494863,0.0275872422675568,3.44576899341975
"T4108",0.143194563,0.182965835,0.073156427,0.149049794,0.100942404,0.122157414,0.153082235,0.050846324,0.081519307,0.481854910698143,0.0454986870532004,3.52832640405289
"T4833",0.083242933,0.300018322,0.125955498,0.116885041,0.071237311,0.098658501,0.122170191,0.12124319,0.073193822,0.429529852210296,0.177571250544876,4.13707511126453
"T4835",0.134830197,0.290224453,0.088419567,0.104736845,0.095960043,0.111712451,0.145434157,0.077141838,0.082932073,0.318009574960802,0.473271980165948,5.50001857294507
"T4837",0.078195281,0.295625719,0.098695601,0.097549626,0.07088051,0.136342478,0.118245387,0.057475535,0.085149209,0.434935135670888,0.163823271286238,4.07370794113312
"T4839",0.074406208,0.282005177,0.114242951,0.090816429,0.091215449,0.117341235,0.13398515,0.080949943,0.080517295,0.325124913558218,0.453415153017178,5.40849450816912
"T4843",0.144791619,0.282745159,0.124824091,0.125590988,0.092725925,0.109488941,0.144270071,0.08645175,0.086801464,0.342227854938164,0.406390484932986,5.19174846230992
"T4846",0.07890137,0.201202995,0.13998086,0.115278707,0.076340429,0.109160506,0.159675021,0.114318029,0.066158772,0.48966309508888,0.0259136780835602,3.43805520331445
"T4848",0.075070595,0.279589831,0.1319399,0.118292605,0.065134739,0.113582839,0.124881525,0.097441918,0.070729049,0.498643573042295,0.00340006471568437,3.33428548256377
"T4850",0.104567522,0.292562551,0.092921552,0.072404054,0.102775349,0.139738909,0.143155248,0.073437863,0.092745334,0.395503575135718,0.265003000622341,4.54006543281048
"T4852",0.109146521,0.27059825,0.113006066,0.083283568,0.082907171,0.117361207,0.140072464,0.088751523,0.086641751,0.270545411250811,0.611164288753126,6.13559164253394
"T4856",0.093260226,0.138059023,0.10839113,0.088828589,0.103643477,0.120396477,0.132133807,0.094712831,0.088385321,0.158695749880571,0.999832655123537,7.92704142821908
"T5994",0.074181898,0.318692851,0.143337109,0.119680315,0.166711723,0.100532292,0.29468449,0.096222809,0.12620426,0.46123698428314,0.0973178656990479,3.76717130245919
"T5996",0.065164717,0.338886528,0.14398912,0.108646704,0.093611243,0.092957861,0.324419923,0.098761703,0.089879815,0.459085489619405,0.102737917254995,3.79215339783519
"T5998",0.070748805,0.295808135,0.118994195,0.11715212,0.082940552,0.116069168,0.293179313,0.106370411,0.114064904,0.362841810592683,0.350873009309189,4.93585737774132
"T6000",0.082910769,0.267156828,0.136663453,0.079921264,0.096603894,0.118602525,0.295004891,0.089652675,0.128773896,0.403422080468279,0.244499278185154,4.44555969901778
"T6004",0.084533626,0.319359738,0.140041921,0.132434902,0.091465808,0.144731674,0.294090287,0.098417956,0.095889397,0.420465232986018,0.2007034447927,4.24369599429312
"T6018",0.080201031,0.319179167,0.132936729,0.131901949,0.097073759,0.124777907,0.291720872,0.094509669,0.098315818,0.353706968112178,0.375331507841177,5.04859146094569
"T6028",0.083855869,0.312219695,0.124481123,0.127700294,0.101896624,0.122461602,0.302061964,0.122269136,0.09281624,0.289335855091172,0.555325982284312,5.87822178480478
"T6013",0.070422107,0.287538085,0.133353157,0.097498179,0.106937089,0.075571151,0.321369571,0.107232124,0.110811932,0.422031625944989,0.196698796576672,4.22523777435784
"T1770",0.123343483,0.33692606,0.087977262,0.12437697,0.078548697,0.07929872,0.096690927,0.078688591,0.085008644,0.400868862862569,0.251098797319757,4.47597819499603
"T1771",0.12084388,0.312507974,0.090881753,0.122983894,0.076826986,0.078671489,0.080402022,0.078528619,0.084895517,0.389768047718424,0.279923632741064,4.60883759315115
"T1772",0.119213537,0.321657166,0.098741075,0.109809752,0.085424277,0.086578754,0.08536401,0.086573791,0.096029452,0.181147091045812,0.911002261508661,7.51760448049477
"T1778",0.120903784,0.223568873,0.080478716,0.08014417,0.065129473,0.066816661,0.087040727,0.066783904,0.072535498,0.446754393101015,0.133865683996478,3.93562746437331
"T1803",0.128213712,0.140623115,0.099963978,0.169226348,0.091952562,0.093148,0.119712237,0.093555046,0.095596066,0.468312077711966,0.0795135487071956,3.68510766512955
"T1826",0.154198404,0.185571901,0.089983665,0.086384196,0.086379122,0.085379605,0.249451593,0.085952399,0.097252781,0.466273185951249,0.0846415418833439,3.70874360535848
"T4798",0.096281626,0.246838574,0.099009308,0.149592696,0.094964168,0.172849672,0.094785881,0.095599084,0.169896164,0.488394856472035,0.0290938848171117,3.45271340852024
"T5743",0.140351222,0.183459508,0.144559907,0.175341488,0.121068846,0.125320782,0.143524281,0.122572741,0.123997008,0.22640302841786,0.750745130439217,6.77894749693345
"T5755",0.135680346,0.18326276,0.1272216,0.061747251,0.110979545,0.118578716,0.164382049,0.10964008,0.114071977,0.416206779920675,0.211607112723288,4.2939531679341
"T5757",0.134277703,0.202966183,0.141312589,0.069012149,0.086444394,0.111244389,0.258448654,0.106964317,0.090159709,0.467631084073892,0.0812260687463436,3.69300101051745
"T6892",0.067783511,0.310720219,0.069334165,0.061871128,0.086065454,0.096006321,0.062448004,0.077131009,0.067356359,0.307331632680458,0.503428176894749,5.63901448010209
"T6894",0.108344189,0.141415569,0.093940391,0.09675171,0.130974605,0.136666339,0.145986636,0.07861593,0.109747728,0.250582520181341,0.672657769065373,6.41902732101522
"T6896",0.118256196,0.288087286,0.092195279,0.105673164,0.082937268,0.076850152,0.132219914,0.06992423,0.111928862,0.286508104819027,0.563614950831404,5.91642728906515
"T6898",0.098530926,0.185263212,0.117780003,0.127122135,0.126952656,0.068812756,0.13793539,0.109984443,0.128374673,0.381860244457916,0.300598744545931,4.70413329461955
"T6900",0.090293893,0.070549675,0.084514977,0.077316283,0.094290893,0.051350659,0.078737527,0.082038723,0.087393816,0.341532970402297,0.408282969742707,5.20047130111064
"T6902",0.098530926,0.185263212,0.117780003,0.127122135,0.126952656,0.068812756,0.13793539,0.109984443,0.128374673,0.381860244457916,0.300598744545931,4.70413329461955
"T6891",0.099476906,0.060984167,0.076728802,0.067940538,0.06503351,0.069394546,0.075801283,0.068443312,0.081530378,0.278099251675911,0.588497362973357,6.03111527439131
"T6893",0.130059692,0.101177835,0.130471873,0.106894663,0.094146954,0.090117642,0.271258382,0.128788806,0.074341779,0.389347077068791,0.281021180961243,4.61389641114085
"T6899",0.128023491,0.070164429,0.072048125,0.068509927,0.096166369,0.071624535,0.261640103,0.101972106,0.099742098,0.454402898518551,0.114544973809566,3.84657446927918
"T6901",0.133517282,0.101001391,0.113244276,0.135560079,0.108305913,0.084328467,0.243103087,0.099530346,0.075815088,0.406948641869424,0.235401291533356,4.40362526944294
"T0866",0.103427828,0.127057597,0.068970752,0.121943565,0.066930074,0.063598722,0.080918483,0.065206207,0.070463415,0.491624285933518,0.0209963442913167,3.41539023407468
"T2143",0.094200844,0.913607529,0.070650491,0.055315613,0.065417757,0.064114273,0.05865745,0.066041864,0.071478082,0.32935280889278,0.441700956029075,5.35450144493173
"T2147",0.109501784,0.927084543,0.087799298,0.057602308,0.063869405,0.06166934,0.038862642,0.064915568,0.074203021,0.455693719478951,0.111288670840978,3.83156552139469
"T2148",0.095999723,0.934919031,0.085306094,0.102828345,0.079730589,0.079208452,0.074942071,0.080007026,0.082380721,0.106498016088344,1.24536930150298,9.05876865532018
"T2149",0.062776977,0.977614626,0.059971231,0.09585717,0.053845463,0.054824475,0.05271998,0.053675888,0.051505762,0.45739614914799,0.106995816950061,3.81177890419536
"T2150",0.10485867,0.910508116,0.101557539,0.100913562,0.060409829,0.058523712,0.079649399,0.061366309,0.070058956,0.461818870636167,0.0958524736025631,3.76041701889938
"T2154",0.06458701,0.973776447,0.044030701,0.060908698,0.056015082,0.056305987,0.05634864,0.056703253,0.056013131,0.14891212471446,1.04111053772526,8.11729939706523
"T2127",0.098892824,0.979026764,0.057439589,0.115091993,0.064787763,0.063666542,0.056379411,0.060230152,0.070780127,0.493206909720576,0.0170285751001116,3.39710199689806
"T2114",0.123075869,0.929501438,0.098691879,0.100692192,0.064474384,0.061707349,0.090871369,0.065967116,0.078163358,0.468795346205361,0.078298397186028,3.67950679014067
"T2118",0.097354515,0.983229039,0.099296088,0.114751459,0.074319752,0.073788533,0.08175364,0.074602968,0.077325176,0.333033972336201,0.431550770995381,5.30771722378947
"T2134",0.097960894,0.887766868,0.062707838,0.089306911,0.055215039,0.053624386,0.071371716,0.056170339,0.063575028,0.460186378185237,0.0999641885739096,3.77936873079969
"T2136",0.112253854,0.835031001,0.095642419,0.109112732,0.059319983,0.057430276,0.058154226,0.060264891,0.070015898,0.494197631272116,0.0145448943351852,3.38565421838295
"T2110",0.095182532,0.929399674,0.072319056,0.098100365,0.053925096,0.051972611,0.037061919,0.034399177,0.062820767,0.476302593178813,0.0594355649831634,3.59256424572214
"T2111",0.10483895,0.910862039,0.082608436,0.079351756,0.056927388,0.05471198,0.041480026,0.074653115,0.068370457,0.442680901123501,0.144175607288306,3.9831479509106
"T2128",0.093633381,0.936140321,0.077751447,0.081829163,0.050913178,0.049325609,0.03198429,0.031102291,0.059061377,0.460770032612281,0.0984939633224628,3.77259217026761
"T2130",0.10790419,0.891352179,0.061201663,0.081949945,0.066869277,0.065190598,0.056128213,0.067753431,0.076591965,0.401569618086776,0.249286418589183,4.46762458104286
"T2122",0.113238386,0.898433982,0.080911549,0.062938295,0.057830779,0.054980113,0.046024567,0.059184152,0.071459678,0.492821196243539,0.0179955637082905,3.40155903967481
"T2112",0.088656561,1.028230611,0.117354077,0.114490718,0.074165255,0.075737996,0.084392604,0.073581842,0.071806,0.409439722048821,0.228986454613239,4.37405801051455
"T2141",0.102532783,1.065964656,0.104032226,0.110306788,0.059918104,0.058854606,0.056896003,0.060346301,0.068287519,0.485177918862424,0.037161999438231,3.48990095311992
"T6034",0.083005365,0.323111346,0.04617514,0.04568905,0.066035211,0.051253626,0.34030057,0.074024143,0.074954873,0.452853897740473,0.118454183783908,3.86459279538102
"T6045",0.074233657,0.088044881,0.092822717,0.056775852,0.069462525,0.058201395,0.083810869,0.077619247,0.073969925,0.326216733496348,0.450384156470605,5.39452404238494
"T6058",0.069123466,0.376248813,0.050310431,0.049327153,0.055138862,0.049297352,0.363852733,0.05862763,0.060180508,0.209487149149394,0.808202014423816,7.04377770028025
"T6069",0.073785614,0.356206919,0.049696808,0.050112318,0.056722457,0.049721106,0.360132616,0.061469584,0.063592409,0.291153123043281,0.550019139516622,5.85376149124494
"T6030",0.082193493,0.090907441,0.055451262,0.051182414,0.067511403,0.055065982,0.342854133,0.074168188,0.074188208,0.341626193859056,0.408028995320882,5.19930068249869
"T6041",0.077607485,0.27374317,0.071269119,0.05125956,0.068015111,0.055370067,0.269098979,0.07653022,0.075069213,0.267446110835028,0.620555355469396,6.17887693640368
"T6054",0.070398151,0.384608793,0.051198787,0.047642726,0.055893132,0.047946555,0.343203128,0.060222779,0.06115533,0.258987642690247,0.646469589590514,6.29832079440531
"T6065",0.070162051,0.37971035,0.048976524,0.048829589,0.056493486,0.048994666,0.334045312,0.061845037,0.063340631,0.262989333216946,0.634156540834052,6.24156750428837
"T6036",0.096747383,0.25622186,0.051825046,0.046692954,0.076761574,0.057088993,0.28139172,0.086715625,0.087377361,0.494160839555664,0.0146371273095159,3.38607933850178
"T6060",0.081538423,0.359265942,0.059483684,0.049801371,0.064357427,0.052705902,0.306225389,0.069268206,0.071291582,0.332367236563998,0.433385857484646,5.31617550231779
"T6071",0.071182757,0.389138138,0.048933952,0.048134523,0.056323254,0.049122822,0.338133478,0.060665689,0.06282103,0.2800131559556,0.582802425591452,6.00486617558356
"T6038",0.082803935,0.094049554,0.049202828,0.047443414,0.065527721,0.05217188,0.32289968,0.07301325,0.07315899,0.417709997927236,0.207755351972346,4.27619963672644
"T6049",0.073590841,0.094575609,0.089660675,0.055081709,0.067647893,0.056762832,0.089772234,0.077307881,0.073378135,0.322404232287923,0.460986257661826,5.44339123495889
"T6062",0.070895809,0.379718622,0.049774351,0.049678859,0.055017611,0.049860401,0.376393749,0.058763117,0.060841748,0.239846491037804,0.706796448281917,6.57637928185827
"T6073",0.070957653,0.390265549,0.049532264,0.049031542,0.055827753,0.049752222,0.326483154,0.060438982,0.06197601,0.253863288518894,0.662381780754674,6.37166324755378
"T6032",0.082776718,0.318569563,0.046946561,0.045660195,0.066149507,0.051103516,0.32532386,0.073608663,0.074174493,0.446538495072755,0.13441175081581,3.93814439492672
"T6043",0.076687033,0.094176367,0.07019012,0.053434058,0.067503366,0.056251212,0.093804271,0.074538479,0.0739319,0.212346645547989,0.798305389710794,6.99816218907538
"T6056",0.067733548,0.377683127,0.053955482,0.050067024,0.055558009,0.049706704,0.356518421,0.058782921,0.059994535,0.143088169062826,1.06654723511,8.23454219329274
"T6067",0.071024895,0.396157228,0.049256187,0.050534882,0.055852577,0.04932533,0.371006443,0.060606984,0.06218481,0.249216278395004,0.67695807241427,6.43884827424767
"T6040",0.082717385,0.310333021,0.048235961,0.046680554,0.065861898,0.05215757,0.326427318,0.07376209,0.074446078,0.430778362560467,0.174392860149147,4.12242527792094
"T6051",0.075731948,0.304831745,0.08490298,0.051740914,0.065648562,0.054405543,0.089530067,0.073287895,0.071324254,0.334214850887312,0.428304144690948,5.29275287757423
"T6064",0.073006091,0.398599747,0.048958879,0.048786851,0.054562221,0.049174286,0.398499954,0.058487146,0.060866962,0.294587436875514,0.540032131258396,5.80772938430783
"T6075",0.074373715,0.360699297,0.049903787,0.05053943,0.056727928,0.049715809,0.337314406,0.061527911,0.0633882,0.293519404458735,0.543132163525668,5.82201804945617
