"","cotB","gerR","spoIIID","gerE","cotH","ywrJ","pval","z","inv_cof_var"
"GSM672783",8.151339033,8.671066914,7.401328996,9.205351301,7.510571747,7.92102974,0.291719947602698,0.548367051919361,24.2191635067867
"GSM672784",8.092948327,8.735318587,7.27630855,9.513952416,7.606418959,7.866197398,0.0504600165393089,1.64040958816449,32.2659333988992
"GSM672785",8.146702602,8.702976208,7.632326208,9.531951673,7.491978439,7.877147584,0.310522146275095,0.494370855997661,23.821289844168
"GSM672786",8.254450186,8.402105204,7.527495539,9.485410037,7.551466171,7.858889033,0.38236727001462,0.299269348222086,22.3836746537631
"GSM672787",8.134901115,8.50338829,7.436165428,9.943906691,7.575073978,7.780598141,0.155297275665302,1.01397527302523,27.6500209054346
"GSM672791",8.247687361,8.390028625,7.380567286,11.45977212,7.501630112,7.882130855,0.449414816734663,0.127139948753383,21.1153305891128
"GSM672792",8.269560223,8.488292565,7.429003346,11.31787472,7.507446283,7.847688476,0.475757556601575,0.0608042404230466,20.6265326138985
"GSM672793",8.111744238,8.454589219,7.312226022,11.16154387,7.524751673,7.795259851,0.19230185188118,0.869445137144334,26.585043390998
"GSM672794",8.034003346,8.499108178,7.255019703,11.08555204,7.347610037,7.681131227,0.381679422318662,0.301072979812628,22.3969648030911
"GSM672795",7.950685502,8.262543494,7.096736803,10.39144312,7.442474721,7.675954461,0.0862944336751632,1.36393232078114,30.2286968653449
"GSM672796",8.105662082,8.375895167,7.180258364,10.58518067,7.617057249,7.672643866,0.111612227364686,1.21799873166007,29.1533779357132
"GSM672804",8.107589591,8.487209294,7.120526022,9.883156134,7.446739777,7.707991078,0.33604218927031,0.42328905534961,23.2975200510072
"GSM672805",8.050930112,8.530658364,7.091472119,10.10964312,7.428180669,7.719550558,0.264484114473023,0.629581808169556,24.8175984886661
"GSM672806",8.074649442,8.272876208,7.105244981,10.50820223,7.530228253,7.814337918,0.124615261481994,1.15222038510891,28.6686869085663
"GSM672807",8.145573978,8.505152788,6.978382528,10.82642677,7.506534758,7.87459461,0.281062061397235,0.579689355592669,24.4499634635509
"GSM672808",8.249947584,8.528111524,7.147453903,10.57562602,7.55290223,7.92674777,0.367354042722296,0.338869442209331,22.6754699212964
"GSM672809",8.332564684,8.691702974,7.246704089,9.849930112,7.575992937,8.085531599,0.470116977141789,0.0749758153394456,20.7309565704536
"GSM672810",8.333586989,9.337545725,7.324245353,9.737092193,7.547315613,7.928262825,0.499692695268323,0.000770298805526016,20.1841695209977
"GSM672811",8.25673829,8.7329829,7.073488104,9.730959851,7.500678067,7.8676671,0.464838001267452,0.088252485601546,20.8287863774315
"GSM672812",8.263677323,8.594514498,7.112858736,9.689711524,7.594366171,7.960021933,0.31683517036893,0.476567205269118,23.6901027558475
"GSM672813",8.159125279,8.583566914,7.098571004,9.82355539,7.561339777,7.872061338,0.202894680652847,0.831326228780972,26.304162313606
"GSM672814",8.254450186,8.703616171,7.116044981,9.826689777,7.575073978,7.895319331,0.337489559317617,0.419324328804973,23.2683057657289
"GSM672815",8.133879926,8.38036803,7.015959108,9.971773978,7.525212082,7.890224164,0.22994429671282,0.739030308478233,25.624075221751
"GSM672816",8.188528253,8.205537918,7.205772862,10.45007435,7.534707435,7.982855019,0.319448469197031,0.469241621089329,23.6361238234675
"GSM672817",8.140407807,8.407467658,7.187255019,10.45367881,7.443320074,7.836457993,0.384772186703942,0.292970927823356,22.3372644289319
