"","cotA","gerE","cotE","cotM","cotP","gerPA","gerPB","gerPC","gerPD","gerPE","gerPF","gerT","oxdD","tgl","ydgA","ydgB","yhjQ","yhjR","yisY","ytcA","ytcB","ytcC","pval","z","inv_cof_var"
"GSM672567",7.37402119,11.24703346,8.725552788,8.069449814,7.18144684,7.708865056,7.693285502,7.771924164,7.671643494,7.6393,7.846815613,7.343718587,7.11902119,8.177703717,7.318360967,7.179195167,7.417417844,7.061997398,7.954822677,7.140640149,7.124259108,7.132457993,0.112649506911067,1.21255758451551,17.3773838987652
"GSM672568",7.466668773,11.65592045,8.726693309,8.029918216,7.303023978,7.644156134,7.711727881,7.736879182,7.61607658,7.648633643,7.909552788,7.171866543,7.116044981,8.092948327,7.194324907,7.155304089,7.353526766,7.182719331,7.974095167,7.114518587,7.112858736,7.247768401,0.0960752837249222,1.30424351499368,17.7174613837652
"GSM672569",8.937742751,10.69258996,8.123189219,8.069449814,7.388077695,8.010395911,8.002232714,8.052826022,7.770922305,7.74787026,7.808284015,7.389022677,7.211249442,7.972064684,7.264314126,7.278232342,7.118277509,7.038592937,8.122149442,7.091472119,7.139126022,7.158062082,0.248411792832714,0.679496087733737,15.4001752667488
"GSM672570",9.057098141,11.21415576,8.239889591,7.88627026,7.373147584,7.960021933,7.941649071,8.130766914,7.791298513,7.720615985,7.904584015,7.502536431,7.231006691,7.949688476,7.331414498,7.312733086,7.168089591,7.001856877,8.221126022,7.378700743,7.289504089,7.268254275,0.215069950830119,0.788952273583063,15.8061654138433
"GSM672571",8.882200743,10.62500372,8.230542007,7.958960223,7.45293829,8.062080297,8.094953903,8.138221933,7.8573171,7.874073978,7.971537918,7.506061338,7.316581784,7.947747212,7.322290706,7.295504833,7.055417844,7.047502974,8.262543494,7.409369888,7.289504089,7.303552045,0.181321347698274,0.910341013363229,16.2564152735161
"GSM672582",13.49977695,14.32815855,16.24893309,14.961471,12.61245019,14.18664647,14.5439829,14.78927807,13.91831896,14.29121375,14.22263903,13.15779442,12.94463234,13.37626729,13.24435279,13.0950171,11.56434796,13.38685874,12.29611413,13.1468632,12.71891599,12.85683234,0.491284510241635,0.0218482311225124,12.9608563011715
"GSM672584",15.46632379,15.98922119,16.26199628,16.21444944,14.9914171,15.45858439,15.53070669,15.85358848,15.48368625,15.82038253,15.91022379,14.82635502,14.45737881,15.50683643,15.07704164,14.84911041,11.5727223,13.98155204,12.82026617,15.6989948,15.3676855,15.19678141,0.435309805689693,0.16287149935047,13.4839337039456
"GSM672585",14.961471,15.96520669,16.16017398,16.3629342,14.76762156,15.70693346,16.11630929,16.12363346,16.15247212,16.05140074,16.07966952,14.58543234,14.23481264,15.49114684,14.90736059,14.84014647,11.83344498,13.64935428,13.35250967,14.58155874,14.37361413,14.29400892,0.486030968303535,0.0350223280204998,13.0097210911872
"GSM672586",15.10096468,15.6989948,16.32106729,16.30243048,15.03851413,15.58130781,15.75899182,15.97278996,14.8074855,15.04970037,15.11127918,14.88755316,14.15158996,15.53070669,15.3676855,15.29518476,11.84897658,14.04280037,12.58894312,15.77650855,15.4060026,15.70693346,0.425315538039866,0.188313279457023,13.5783012535514
"GSM672587",15.52257435,15.86955019,16.28248513,16.20058401,14.69077807,15.12831859,15.66552974,15.68112788,15.39813309,16.03633346,15.98922119,14.68241227,14.35976208,15.13492268,14.98346506,14.89277844,11.65105948,14.08209294,12.68944535,15.57326431,15.22980632,15.22313234,0.440828288468256,0.148869539954699,13.4319982421844
"GSM672588",14.97813903,16.17336691,16.33439926,16.4320948,14.72338401,15.63036543,15.74199963,15.82913494,15.83757435,16.0724342,15.87744201,14.56330743,14.24448885,15.34516989,14.71080558,14.76762156,12.09369554,13.58394275,13.44939033,14.6281855,14.45737881,14.34210483,0.383090804071128,0.297373191996981,13.9828215608383
"GSM672589",15.38340149,16.16017398,15.81157807,16.26199628,15.0717881,15.17796914,15.25241524,15.43592342,14.96705799,15.06041338,15.80265167,14.58946431,14.21958662,15.4060026,14.90230818,15.04395688,11.77574349,14.10146097,12.8679223,15.5469539,15.22980632,15.21045093,0.30127147170661,0.520747122033099,14.8113504741086
"GSM672590",15.38340149,16.19371115,16.38425465,15.95731301,14.15794052,15.33721524,15.43592342,15.57326431,14.88252156,15.53897138,15.75899182,15.01087881,14.06186803,15.41281338,14.48754907,14.37000297,11.37801599,13.81090595,12.65911338,15.35256022,15.07704164,14.90230818,0.495935589137387,0.0101881434371369,12.9176072085981
"GSM672591",15.34516989,16.13797361,16.28248513,16.16017398,14.15794052,15.32970632,15.39813309,15.46632379,15.03266691,15.12307993,15.97278996,14.86360112,14.28505874,15.32246357,14.26317249,14.20445688,11.72085651,13.86138401,12.66638996,15.26197249,15.06041338,14.961471,0.426175600990059,0.186119306573478,13.5701634642908
"GSM672592",15.10096468,16.02135874,16.18697584,15.82913494,13.91563829,15.28264684,15.20407138,15.53897138,14.84014647,15.09480297,15.79347546,14.3837368,14.14860818,15.32970632,14.19217844,14.11029777,11.4886,13.89516245,12.55941877,15.16584238,14.91633309,14.68655279,0.449735151386684,0.126330514374207,13.3483974640302
"GSM672593",14.94091933,15.99737658,16.34839145,15.79347546,13.79624275,14.77594758,14.96705799,15.10605167,14.79863755,14.86360112,15.59743048,14.49293792,14.01692193,15.29518476,14.06484089,13.96823197,11.85151487,13.59734461,12.57097026,15.26837881,14.8074855,14.84911041,0.376366543955543,0.315037623368805,14.0483417051348
"GSM672594",15.15316729,16.20058401,16.30918699,15.85358848,13.77660149,14.8357223,14.8536461,15.16584238,14.85846468,15.29518476,15.99737658,14.54790446,13.93848699,15.34516989,14.05076654,14.04280037,11.78955725,13.56203011,12.52835316,15.31886524,14.82197844,14.84014647,0.448068595262747,0.130542552001919,13.3640205716945
"GSM672595",14.97813903,16.15247212,16.32466301,15.76791375,13.56203011,14.76273346,14.88755316,15.32970632,14.82197844,15.24909405,15.45858439,14.2410829,14.04280037,15.30189331,13.7935658,13.63154052,11.51118996,13.60378104,12.64979145,15.12307993,14.8074855,14.64045799,0.472575374110487,0.0687975752070048,13.1349987761988
"GSM672596",15.01087881,16.18697584,16.26861673,15.78401747,14.04023532,14.78045019,15.03266691,15.24369703,14.61673569,14.95131636,15.67325911,14.45389294,13.9254487,14.76762156,14.1456342,14.0958948,11.96296022,13.54124015,12.5487,15.24909405,15.02109257,14.74027026,0.339503726482903,0.413817928417856,14.414733337236
"GSM672597",14.70664796,16.26199628,16.20750632,16.13797361,14.41869665,15.11127918,15.20407138,15.44358327,15.1469052,15.53897138,15.98922119,14.44658587,13.86533216,14.93051896,14.5076632,14.46736729,11.75498866,13.25572045,12.4688316,14.5706171,14.26317249,14.35627175,0.472998960753283,0.0677333239917188,13.1310513016538
"GSM672598",7.429891078,10.1033316,8.895476208,7.354395539,7.684879182,7.388077695,7.677404833,7.883198141,7.454666543,7.545562825,7.915737175,7.517730112,7.174337918,8.302290706,7.139126022,7.272892193,7.48316171,7.105244981,8.922488848,6.988712639,7.025510037,7.126487361,0.392278214601896,0.27338610956197,13.8938497128738
"GSM672599",7.810275465,10.56992156,9.081066729,8.032024535,7.616566914,7.32036171,7.477835316,7.869126394,7.602376952,7.586030483,7.88364684,7.382328253,7.488922677,8.449340892,7.570010595,7.593080483,7.244748699,7.137155204,8.726693309,7.144603717,7.218706506,7.235277695,0.300249268753614,0.523683724603722,14.8222427932622
"GSM672600",7.356145725,10.88695465,8.734165056,7.738784015,7.395965799,7.383730297,7.89425539,8.009399628,7.772373234,7.884095539,7.919,7.739739777,7.120526022,8.615913383,7.312733086,7.444192193,7.436165428,7.228956877,8.782875465,7.064322677,7.019252045,7.11902119,0.337267249467571,0.419932864003234,14.437414591644
"GSM672601",7.470616357,10.28526989,8.898016357,7.273359108,7.296479182,7.751708178,8.064017472,8.213257249,7.931394796,7.926234201,7.996134572,7.39422342,7.589801115,8.641617844,7.190369888,7.198866171,7.45382974,7.143272862,8.760095167,7.050248699,7.028367658,7.081839777,0.454476973110805,0.11435807624207,13.3039898146988
"GSM672602",7.491978439,10.88115093,8.39470223,8.253332714,7.634766543,7.701094424,7.950685502,8.199758736,7.853407063,7.89425539,8.430050186,9.025208922,7.187255019,8.325435688,7.468778439,7.611760967,7.832513011,7.632760595,8.728615056,7.147453903,7.085886989,7.034201115,0.339980654859969,0.412515926398874,14.4099040077002
"GSM672608",7.389852788,9.52794684,7.897266914,7.926234201,7.99810855,7.305377323,7.314648699,7.243707063,7.497717286,7.381439405,8.23403829,7.426362454,7.194324907,8.34082119,7.434428625,7.800219703,7.622386245,7.280977695,8.780972862,7.190369888,7.246704089,7.123569888,0.131074281324012,1.12132731516239,17.0389965322884
"GSM672609",7.539566543,9.788014126,8.174248327,7.715651301,7.251828625,7.665922677,7.481363197,7.387064312,7.226811896,7.438816357,7.848711896,7.19202974,7.05796171,8.176603717,7.078821933,7.139126022,7.491978439,7.061997398,9.03881487,7.083947212,7.144603717,7.159424535,0.262277405318488,0.636340043268915,15.24010273449
"GSM672610",7.692402602,9.481560223,8.265997026,7.66315539,7.148817472,7.65925316,7.80720632,7.942710037,7.702029368,7.906473978,7.976651301,7.261334201,7.197662082,7.878071747,7.068984758,7.042702602,7.16059777,6.978382528,8.242130112,6.993476952,7.135171747,7.127989963,0.104024555375798,1.25894801101146,17.5494532608641
"GSM672611",7.590320818,9.423149442,8.263677323,7.549137175,7.200011152,7.418300743,7.753662454,7.852455762,7.675475093,7.775827509,7.854897026,7.170605948,7.158062082,7.846815613,6.928560223,7.031287732,7.275465799,6.939026766,8.257919703,7.001856877,7.098571004,7.034201115,0.0950228122912359,1.31044415487469,17.7404605288372
"GSM672626",8.219970632,10.02264535,8.696739033,8.661983643,7.391549442,7.318360967,7.367472119,7.642252045,7.59084052,7.527495539,7.695330483,7.364559851,7.323299257,8.284689219,7.17327026,7.140640149,7.376315428,7.190951301,8.305863941,7.188427509,7.239541264,7.227946097,0.269781474940937,0.613474029277393,15.1552891050742
"GSM672627",8.478445725,10.42009851,8.546246468,8.608751673,7.426362454,7.703069517,7.750881041,7.778707063,7.717062082,7.858394796,7.871578439,7.294394796,7.174337918,8.156835688,7.015959108,7.188427509,7.275465799,7.1453,8.327762825,7.05796171,7.100415613,7.089604089,0.339951563623237,0.412595324669787,14.4101985083301
"GSM672628",8.432450558,10.08906357,8.524420446,8.42054461,7.355683457,7.765909294,7.877147584,8.017719703,7.675475093,7.839541636,8.012508922,7.358100372,7.376822677,8.196510409,7.196527138,7.16059777,7.200011152,7.095104089,8.330175836,7.071169888,7.274337546,7.21709368,0.242847641064849,0.697171804159185,15.4657372690777
"GSM672629",8.422989219,10.60271673,8.574934572,8.56752974,7.358100372,7.665011524,7.605464312,7.931394796,7.727243123,7.806252045,7.910079368,7.527495539,7.200011152,8.111744238,7.213489591,7.321295167,7.404819331,7.086840149,8.128590706,7.247768401,7.098571004,7.246704089,0.18840120879217,0.883803276099697,16.1579826470585
"GSM672634",7.944212825,10.05336431,8.379198513,8.031022305,7.214778439,8.091864684,8.007326394,7.896279926,7.323299257,7.409369888,7.597465056,7.250310037,7.224067844,8.025824907,7.039841264,7.079829368,7.324245353,7.145996283,8.251019703,7.101850929,7.103652416,7.083947212,0.15449039551653,1.01736296976916,16.653376482117
"GSM672635",7.855413383,9.805604833,8.450677695,8.349314126,7.273359108,7.88627026,7.78546171,7.690520446,7.405287361,7.397816729,7.518624907,7.296479182,7.226811896,7.970501487,7.203504833,7.185085502,7.392457621,7.142574907,8.215446097,7.071169888,7.112858736,7.05796171,0.109765273956456,1.22777738359127,17.4338365187571
"GSM672636",7.907455762,10.2952948,8.317332714,8.695480297,7.640334201,7.94674684,7.746923792,7.578592565,7.313760595,7.451171004,8.04244052,7.510571747,7.162046097,8.536673606,7.507008178,7.707991078,7.533924535,7.554816729,8.214330483,7.145996283,7.047502974,7.034201115,0.167854270209225,0.962679195379171,16.4505457929603
"GSM672637",8.20664052,10.63703123,8.255571375,7.864212268,7.168089591,8.003266543,8.096063197,8.088671747,7.662205576,7.591762082,7.541188476,7.375808178,7.196527138,8.074649442,7.147453903,7.079829368,7.340056877,7.055417844,8.140407807,7.05796171,7.165705948,7.116044981,0.134611439269621,1.10485395114532,16.9778942434727
"GSM672638",8.379198513,10.68152658,8.674690335,8.315149071,7.410212639,8.078779554,7.88725316,7.838514126,7.55949145,7.505216357,7.669763569,7.401328996,7.356145725,8.151339033,7.274337546,7.247236245,7.294394796,7.189107993,8.171969145,7.422534201,7.369321561,7.341880669,0.109239680381197,1.23058167948914,17.4442380917266
"GSM672639",8.242130112,10.96685353,8.09550855,8.675730855,7.409369888,7.313760595,7.163301115,7.221266543,7.317922491,7.310266543,7.45382974,7.151679554,7.182719331,8.09550855,7.085886989,7.089604089,7.465363941,7.131196654,8.400856506,7.145996283,7.106628996,7.077814498,0.274597044193348,0.598968203267,15.1014847230743
"GSM672640",8.186486989,10.84505911,8.538096654,8.121063569,7.254489033,8.196510409,8.161189963,8.099323048,7.710728625,7.72549145,7.679235688,7.158062082,7.123569888,7.960021933,7.083947212,7.162046097,7.238387361,7.050248699,8.18960632,7.085886989,7.129661338,7.064322677,0.280179013998392,0.582309796466089,15.0396960815738
"GSM672641",8.391205576,10.66670855,8.468954647,8.355411152,7.352536803,8.230542007,8.040285502,7.943737175,7.564085874,7.572286989,7.678274349,7.335327509,7.258240892,8.12430632,7.185085502,7.136520074,7.375808178,7.214778439,8.126315242,7.162046097,7.179195167,7.152958364,0.195686580707501,0.857129785856487,16.0590464915243
"GSM672642",7.852455762,10.50502379,8.373463569,7.594366171,7.101850929,7.523875465,7.927261338,7.977637546,7.721987546,7.702029368,7.697311524,7.145996283,7.243707063,7.750881041,7.079829368,7.068984758,7.364559851,7.053049071,8.138221933,7.129661338,7.247768401,7.151679554,0.0514031940278684,1.63139789843876,18.930928263018
"GSM672643",7.764849442,11.18467807,8.107134572,8.093453346,7.279125651,7.706005204,7.80720632,7.882130855,7.549137175,7.556651301,7.564976208,7.211249442,7.212948141,7.739261896,7.195415613,7.212948141,7.315667658,7.042702602,8.145573978,7.061997398,7.114518587,7.100415613,0.0203065824953213,2.0474577107694,20.4741593111086
"GSM672644",7.777772862,10.78417695,8.164482156,8.062080297,7.152318959,7.65925316,7.694331227,7.738784015,7.511424907,7.496405204,7.477835316,7.291402602,7.147453903,7.786871004,7.177962454,7.132457993,7.317484015,7.110566914,8.094953903,7.131196654,7.152318959,7.093293309,0.0135307922121132,2.21062834229719,21.0793847552573
"GSM672645",8.272876208,10.86401599,8.436023792,8.842342565,7.429003346,7.35522119,7.307651301,7.329580297,7.257305576,7.296479182,7.475075093,7.253958364,7.203504833,8.166616729,7.139126022,7.083947212,7.459166171,7.21709368,8.359057249,7.107437175,7.177962454,7.116044981,0.351357173461429,0.381658957292196,14.295450673434
"GSM672653",8.331278067,11.59151078,9.655317472,8.319688104,7.353526766,7.534315985,7.511424907,7.548252045,7.553907435,7.760930855,8.255571375,7.644156134,7.139126022,8.14140223,7.312733086,7.339055019,7.836457993,7.163301115,7.621493309,7.516815242,7.676433829,7.578592565,0.394230580608732,0.268309413050128,13.8750194499005
"GSM672656",8.827584758,10.12925874,8.197505948,8.56752974,7.595456877,8.308172862,8.530658364,8.310448699,7.585147955,7.799313755,8.113799628,7.893735874,7.137790335,8.160678253,7.363712268,7.461993309,7.312226022,7.556651301,8.238844238,7.289504089,7.263282528,7.129661338,0.273004376706965,0.603751673649548,15.1192273643802
"GSM672658",8.582377695,10.19081859,10.0169277,8.891684015,7.911683643,8.398508922,8.363136059,8.488292565,8.309239405,8.393543866,8.725552788,8.326605204,7.889139777,8.646530112,7.837495167,7.89425539,7.366461338,7.570474721,8.235281784,8.111744238,7.94674684,8.002232714,0.282568041735662,0.575229515733717,15.0134342107284
"GSM672670",8.200952045,9.733342007,8.867563197,8.721894796,7.248299442,7.822368401,7.803133086,8.094953903,7.942710037,7.996134572,8.01150855,7.428180669,7.265787918,8.284689219,7.039841264,7.047502974,7.343718587,7.129661338,8.205537918,7.126487361,7.089604089,7.096736803,0.435217959312973,0.163104802450614,13.4847990617068
"GSM672671",7.975606691,9.847455762,8.857243123,8.604154275,7.210253903,7.71755316,7.82807119,8.023792937,7.88816171,7.919985874,7.890224164,7.433513383,7.300564684,8.444594424,7.174337918,7.22019777,7.324245353,7.159424535,8.452079554,7.071169888,7.068984758,7.083947212,0.396807353513191,0.261619631838109,13.8502060029745
"GSM672672",8.202060967,9.691046468,8.739067286,8.725552788,7.307651301,7.773863569,7.906473978,8.120082156,7.88816171,8.031022305,8.069449814,7.481363197,7.348572862,8.524420446,7.013033457,7.221266543,7.437034201,7.162046097,8.107134572,7.047502974,7.111310409,7.108245353,0.396139580213462,0.263352159706646,13.8566322203576
"GSM672673",8.156835688,9.750860223,8.562611152,8.683216729,7.21709368,7.942710037,7.995139033,8.213257249,8.054964684,8.099323048,8.173079926,7.455511152,7.389022677,8.42662342,7.042702602,7.101850929,7.504303346,7.228956877,8.215446097,7.093293309,7.077814498,7.081839777,0.385253519447786,0.291711731288005,13.9618223158146
"GSM672683",7.706005204,10.17617398,8.724292565,8.549405204,7.227946097,7.096736803,7.168733457,7.448477695,7.248830483,7.274337546,7.755745725,7.210751673,7.312226022,8.503986617,7.137790335,7.103652416,7.598236431,7.259303717,8.436023792,7.091472119,7.075526766,7.158062082,0.405168627422098,0.239990972739643,13.7699819167732
"GSM672684",7.71755316,10.16996877,9.095472862,8.411830112,7.338213011,7.120526022,7.20119777,7.367472119,7.269249814,7.300564684,7.682123792,7.236266543,7.257305576,8.450677695,7.166906691,7.162046097,7.530228253,7.177962454,8.424176208,7.055417844,7.131196654,7.150183271,0.460718672474688,0.0986233308980662,13.2456271782965
"GSM672685",7.563181041,9.765004461,8.882200743,8.640388476,7.245240149,7.155304089,7.11902119,7.54200855,7.205226952,6.928560223,7.696285502,7.17327026,7.234760967,8.375895167,7.180258364,7.234760967,7.653142937,7.442474721,8.309239405,7.087793309,7.093293309,7.203504833,0.433553874807941,0.167333368991601,13.5004834777008
"GSM672686",7.637442007,10.11216691,8.617712268,8.299976952,7.249794424,7.10982342,7.156690706,7.389852788,7.297434572,7.34665948,7.667318959,7.11902119,7.21709368,8.333586989,7.103652416,7.190951301,7.576928996,7.200011152,8.35422974,7.123569888,7.083947212,7.212406691,0.24957657733549,0.675822803703135,15.3865504806087
"GSM672687",7.670738662,10.29977138,8.810766914,8.278822677,7.375808178,7.258240892,7.317922491,7.415719331,7.315667658,7.383236059,7.72343197,7.265292565,7.213489591,8.414241264,7.126487361,7.136520074,7.657518959,7.20119777,8.471215242,7.053049071,7.009724907,7.066749814,0.341336334793538,0.408818762673083,14.3961906480282
"GSM672688",7.651796654,10.45131152,8.866158364,8.15352119,7.331414498,7.064322677,7.296956877,7.399576208,7.10982342,7.264314126,7.683043494,7.303552045,7.194324907,8.390028625,7.217656506,7.151679554,7.326832714,7.193237918,8.456971375,7.05993829,7.132457993,7.189788476,0.340462758696624,0.411200505843099,14.4050249067084
"GSM672690",7.409369888,9.758434201,8.477389963,8.760764126,7.47327658,7.35522119,7.392457621,7.567879926,7.413121933,7.566876952,7.762834201,7.268254275,7.044994424,8.962276952,7.155304089,7.226811896,8.003266543,6.965320818,8.212000372,7.001856877,7.137790335,7.11902119,0.47428744008979,0.0644965172401017,13.1190454781454
"GSM672691",7.415719331,10.0742026,8.246547955,8.656604089,7.498145353,7.34665948,7.477835316,7.771924164,7.546874164,7.617939777,7.716571004,7.193237918,7.061997398,8.879577695,6.997829368,7.246704089,7.800219703,7.108245353,8.408137918,7.093293309,7.22019777,7.155304089,0.373104541803481,0.323642003796412,14.080256700604
"GSM672695",7.74787026,11.27490967,9.224525279,7.874073978,7.143272862,7.174947026,7.437034201,7.532095911,7.573260223,7.712718216,7.8193171,7.205226952,7.257305576,8.257919703,7.081839777,7.108245353,8.310448699,7.066749814,8.647807807,7.112858736,7.246704089,7.205226952,0.486163340040367,0.0346903196529275,13.0084896201201
"GSM672696",7.515874349,10.87328067,8.477389963,8.065120818,7.240568401,7.193237918,7.429003346,7.501630112,7.589801115,7.558060223,7.719550558,7.259303717,7.196527138,8.408137918,7.061997398,7.101850929,7.515012639,7.166906691,8.720728996,7.218219331,7.237405204,7.170605948,0.228584086302116,0.743517926130572,15.6376422987516
"GSM672697",7.675475093,10.71009108,8.443499628,8.147725651,7.483625651,7.304376952,7.362719331,7.525672491,7.37916171,7.511424907,7.777772862,7.340056877,7.297434572,8.215446097,7.101850929,7.155304089,7.54200855,7.168733457,8.619519331,7.126487361,7.127989963,7.21709368,0.142883470759065,1.06745385276758,16.8391714173125
"GSM672704",7.926234201,10.04221636,8.688081413,8.121063569,7.293344238,7.885181041,7.631891822,7.543907063,7.389022677,7.458304089,7.625234944,7.163301115,7.309753903,8.285950558,7.091472119,7.123569888,7.304376952,7.108245353,8.277677695,7.103652416,7.101850929,7.073488104,0.212364155994771,0.798245027826591,15.8406336956765
"GSM672705",7.908544238,10.2401855,8.556642751,8.176603717,7.450236803,7.762834201,7.620645725,7.45382974,7.398698141,7.37402119,7.605464312,7.248830483,7.285741264,8.291892937,7.433971004,7.179195167,7.468778439,7.174337918,8.223567658,7.05993829,7.098571004,7.066749814,0.113673103802912,1.20722317531797,17.3575977390523
"GSM672706",7.812289591,9.83625948,8.562611152,8.571306691,7.352536803,7.748886989,7.48316171,7.35901487,7.350514126,7.284734201,7.515874349,7.27630855,7.182719331,8.190704833,7.009724907,7.190951301,7.683043494,7.073488104,8.112798513,7.028367658,7.015959108,7.085886989,0.242286002367389,0.698968039301781,15.4723997867244
"GSM672707",7.450236803,10.66789145,8.408721747,8.243223048,7.308666914,7.783582528,7.713698885,7.656668401,7.350514126,7.458304089,7.588915242,7.225685502,7.147453903,8.283497026,7.163301115,7.158062082,8.691702974,7.141876952,8.422989219,7.164477323,7.209154275,7.166906691,0.279857661519628,0.58326440137315,15.0432368607781
"GSM672708",7.344720818,10.69497435,8.388984758,8.118357063,7.271315613,7.798363941,7.481363197,7.438816357,7.336424164,7.35522119,7.497289219,7.21919368,7.10982342,8.284689219,7.051648885,7.083947212,8.839163941,7.085886989,8.500448327,7.145996283,7.197662082,7.155304089,0.383186611455556,0.297122191129709,13.9818905592852
"GSM672709",7.271315613,10.46258141,8.313920074,8.109748699,7.392457621,7.66687881,7.489437175,7.528486617,7.180258364,7.252905576,7.565977695,7.267130483,7.073488104,8.197505948,7.156690706,7.136520074,8.766517844,6.956875093,8.194155019,7.111310409,7.11902119,7.174337918,0.285801482167023,0.565692309113413,14.9780592167195
"GSM672722",7.331414498,11.24473197,8.638519145,8.213257249,7.251828625,7.672643866,7.9902,8.064017472,7.489437175,7.474165056,7.781533457,7.114518587,7.235277695,8.64275539,7.155304089,7.145996283,7.572286989,7.176684387,8.988291822,7.015959108,7.194324907,7.100415613,0.476114269378619,0.0599084639381752,13.102027669417
"GSM672723",7.226811896,11.51739071,8.201506506,7.72549145,7.658371375,7.942179554,8.171969145,7.919,7.468778439,7.526581784,7.630472119,7.411239405,7.197662082,8.484646468,7.279125651,7.349563197,7.39422342,7.044994424,8.462952416,7.19202974,7.21709368,7.445059851,0.0923217077704212,1.32659281003725,17.8003584216237
"GSM672726",7.208010781,10.69138996,8.284093123,7.826063383,7.329580297,7.543415985,7.575533457,7.682123792,7.30001803,7.481363197,7.897266914,7.323299257,7.066749814,8.796410037,7.307651301,7.501630112,7.558524535,7.233129368,8.479710781,7.019252045,7.064322677,7.001856877,0.230061949377736,0.73864284753708,15.6195598682347
"GSM672727",7.427298885,9.61657658,8.539452788,7.838514126,7.179195167,7.768869517,7.672643866,7.703069517,7.285741264,7.534707435,7.691536431,7.176684387,7.194324907,8.419263569,7.118277509,7.148135688,7.380567286,7.053049071,8.976527138,7.145996283,7.187255019,7.120526022,0.347645750354609,0.39168428795578,14.3326361960173
"GSM672728",7.821365799,11.60144089,8.481003346,8.363136059,7.538505576,7.889139777,7.910079368,7.905511896,7.647627881,7.657945167,8.077768773,7.575073978,7.126487361,8.327762825,7.271315613,7.234244238,7.148817472,7.028367658,8.657939777,7.120526022,7.136520074,7.310266543,0.247824212972652,0.68135257128448,15.4070612551833
