"","yflA","abh","abrB","ylaE","ywoF","pval","z","inv_cof_var"
"GSM672639",9.437442007,11.35176059,14.27227695,9.170989591,11.07273717,0.213524254856634,0.794252398431554,9.60825021517148
"GSM672642",10.03007658,11.79619814,13.30781115,10.57562602,12.37289182,0.279864424418942,0.583244306131674,8.96738445577463
"GSM672644",10.61900669,11.04117175,12.9836684,9.853855762,12.74293383,0.473635231703168,0.0661348523628885,7.3968392735081
"GSM672645",9.436229368,11.72602565,14.5076632,9.29452974,11.10315688,0.187778258667448,0.886113224793717,9.88724642618762
"GSM672648",8.895476208,11.01078959,12.78051896,9.490528996,11.20569219,0.367591767317288,0.338238407563249,8.22326185113245
"GSM672649",8.14613829,10.78880818,12.92150372,9.092923048,10.65360335,0.480707787916362,0.0483772677037541,7.34290661218885
"GSM672651",12.44358959,12.05292342,15.08894944,9.909817472,10.65467323,0.339959807545071,0.412572824394954,8.44902751714525
"GSM672652",12.05292342,12.23579331,14.66569628,9.828678067,10.62261115,0.213152031118541,0.795532072270599,9.61213679192644
"GSM672655",9.136124535,11.00363941,14.53294684,9.632801859,11.39341227,0.336685460903273,0.42152614767652,8.47622021038003
"GSM672656",9.82232974,10.66912045,13.77175465,10.1897539,11.84758067,0.191761145447229,0.871424724216772,9.84263507041428
"GSM672667",8.602923048,12.10021896,13.34303457,10.12073346,11.20998271,0.444448911724777,0.139698991259723,7.62026548064851
"GSM672668",8.554138662,12.44072714,12.49886208,10.09716097,11.30602491,0.494265661518692,0.0143743499675486,7.23963424258819
"GSM672669",8.691702974,12.15180074,12.01920743,10.11712491,11.40038773,0.469062886948215,0.0776257308248295,7.43173893290686
"GSM672670",8.766517844,12.35485911,11.89411264,9.931396283,11.44644647,0.463067355364265,0.0927090454568395,7.47754940292489
"GSM672671",8.806852788,12.26584201,11.99392119,9.813261338,11.51009108,0.479625929844339,0.0510924405570919,7.35115303199949
"GSM672686",10.40780558,13.10414349,14.88755316,9.153733829,10.52649517,0.0242956184728639,1.97216094097521,13.1857492787831
"GSM672689",10.86517584,13.29143606,14.29121375,8.996515242,11.41760669,0.368280797566944,0.336410151784021,8.21770914215548
"GSM672695",11.43817398,12.80614647,13.24606989,8.818431227,10.46088141,0.429662494798613,0.177233491571873,7.73426383864485
"GSM672696",9.15257658,12.52103866,13.74509665,8.923778439,11.03757584,0.350029602448254,0.385240547206544,8.36601496352479
"GSM672697",8.866158364,12.77412974,14.06484089,8.91457658,10.64325093,0.238136189014458,0.712310734885698,9.35938010852209
"GSM672698",11.48142862,12.95655428,11.05744312,10.32988178,9.670372119,0.0807217993487793,1.40023286020172,11.4487110457451
"GSM672700",11.81351859,12.59922416,11.29765019,9.908577323,9.729824164,0.267744786267325,0.619647977520248,9.07794830313701
"GSM672701",9.799172862,10.19817918,14.55173829,10.04106729,10.54862454,1.07380413970989e-10,6.35039638205618,26.4831595827394
"GSM672702",9.70122342,10.40512788,14.52939071,10.00507361,10.31526468,3.07283071047388e-17,8.36239703639569,32.5939315118926
"GSM672703",9.381207807,10.20783569,14.5931777,10.12191822,10.53330372,0.000524568360656318,3.27700725899375,17.1487789302938
"GSM672705",9.460184387,11.59519071,13.18522751,9.411591822,11.64227658,0.397738632358245,0.259204752120806,7.98322383618727
"GSM672706",10.50502379,11.77964126,13.77875762,9.446366171,11.36127584,0.112498325909537,1.21334838349136,10.8811126148932
"GSM672707",11.7445632,12.38281004,12.82249405,9.387413383,10.64563569,0.278385555470436,0.587644238337092,8.98074776266673
"GSM672709",12.00844572,12.55092639,13.21045353,9.323555762,10.4475026,0.413937516372213,0.217427717043235,7.85634021282232
"GSM672710",9.847455762,12.43328327,12.66787807,10.51167881,11.02488141,0.000264602408155089,3.46552119304625,17.7213262870642
"GSM672711",9.490528996,13.0649197,12.78678773,10.65467323,10.8312829,0.0107923908817639,2.29759620659037,14.1741489006164
"GSM672712",9.50463829,12.96858699,13.31737249,10.76070037,10.85317881,0.0152146524798864,2.1644568480037,13.769783100157
"GSM672716",8.903206691,12.33753643,13.1633513,9.745832714,11.55682342,0.469869154109493,0.0755987786028616,7.42558275064468
"GSM672717",8.898016357,12.37427993,13.10047026,9.753242379,11.50287249,0.450981583498733,0.123181762491633,7.57009998110667
"GSM672718",8.827584758,11.96838401,13.20139963,9.942540149,11.61880967,0.498187578557196,0.00454308246193084,7.20977509051896
"GSM672732",8.317332714,13.25369033,13.78374796,8.97785948,10.78305911,0.482034807175509,0.0450472910892571,7.33279293375802
"GSM672740",8.75446803,14.39777584,15.03851413,8.373463569,9.735805576,0.0339704421859298,1.82539870645906,12.7400085972347
"GSM672741",8.005877881,14.28826431,14.8169052,8.510088476,9.663977323,0.155998867916995,1.01103905894708,10.266666422361
"GSM672742",7.838514126,14.12469963,14.34210483,8.356741636,9.843672491,0.353328285498583,0.376350190097319,8.33901350875586
"GSM672743",8.217745725,13.48460855,13.50622305,8.018659851,9.719139405,0.243548106446842,0.694934719830444,9.30660633590368
"GSM672744",8.410509294,13.25970781,12.68502305,8.599350558,10.04591561,0.171147481002391,0.949640480850211,10.0801889941778
"GSM672746",8.756268401,13.1633513,14.02572788,8.291892937,9.855135316,0.0953198306596871,1.30868917117588,11.1706780321953
"GSM672747",9.292084387,13.15065688,13.95159331,8.324371375,10.01256431,0.11307928431291,1.2103136323354,10.8718955840062
"GSM672748",8.858484387,12.88983086,13.78598662,8.489474349,10.08529814,0.108501973753318,1.23453410172602,10.9454570732352
"GSM672749",8.324371375,13.47612974,14.35301933,9.254644238,10.69380223,0.409058709534214,0.2299669918044,7.89442402162089
"GSM672750",8.581058364,13.66292007,14.51807323,9.10509368,10.79800781,0.371186973136121,0.328711255183631,8.19432634596719
"GSM672751",8.630512268,13.37430892,14.61673569,9.169653903,10.75109331,0.317822769206329,0.473795788080919,8.63497157591325
"GSM672752",8.15352119,13.27671636,13.90293309,9.074196283,10.51419851,0.424786798554442,0.189662513943217,7.77201279307477
"GSM672753",9.215022305,13.44091413,13.7824868,9.043852416,10.42599777,0.0352173662798408,1.80910474180922,12.6905211869885
"GSM672754",9.246527881,13.17966803,13.81090595,9.038258922,10.52881636,0.0607666728659239,1.54836955980421,11.8986262004226
"GSM672756",8.410509294,13.96823197,14.25115204,9.395199628,11.05514201,0.499794406808193,0.000515345730465654,7.19754220157651
"GSM672757",8.952978439,14.04023532,14.54790446,9.143151301,10.94953011,0.300263475786713,0.523642879486249,8.78636526768599
"GSM672758",9.520383643,11.21293494,14.26946022,9.745832714,11.45977212,0.208930015252526,0.810139454488401,9.65650177810198
"GSM672759",9.470373234,11.12047993,14.16068439,9.667862082,11.71235911,0.3600518155112,0.358320296119553,8.28425379992211
"GSM672760",9.812004461,11.23750149,14.27227695,9.579008178,11.51478885,0.200361558688981,0.840330477891474,9.74819680709016
"GSM672761",9.27505948,11.24112156,14.27893866,9.800424907,11.58882602,0.342654425285245,0.405229461992055,8.4267245359109
"GSM672762",8.895476208,10.94614238,13.70401115,9.707454275,11.60768401,0.494971656563338,0.01260452157999,7.2342589870649
"GSM672763",9.110960595,11.41278104,13.91563829,9.884420446,11.54819108,0.373608505221632,0.322311119065426,8.1748880957611
"GSM672764",8.9057171,11.35117491,13.63515911,9.940048699,11.56687732,0.452726765225096,0.118775107427737,7.55671625580427
"GSM672765",8.959613011,11.39101301,13.17062045,10.12423866,11.7111632,0.469011435845656,0.0777550894161465,7.43213181590464
"GSM672767",8.717047212,11.75619089,12.34786914,10.37031283,11.50178625,0.488890612093818,0.027850705875466,7.28056411863558
"GSM672768",9.418096283,10.43927658,13.97367398,9.407636059,11.37447026,0.288660102741396,0.557303323309493,8.88859748853258
"GSM672769",9.476631227,11.36968216,13.88212491,9.534535316,11.56050372,0.323492757138078,0.457953965997751,8.58685739588867
"GSM672770",10.12320297,11.00480892,14.24448885,9.502714126,11.44062416,0.140952157698221,1.07605129702978,10.4641191213303
"GSM672771",9.493057993,11.18032528,14.31970743,9.529989033,11.58120632,0.329504843712043,0.441280850803602,8.53621844401746
"GSM672772",9.069464312,11.45977212,14.5439829,9.665223792,11.4682684,0.387956328291247,0.284649535494116,8.06050376531933
"GSM672773",9.167288104,11.30368922,14.06186803,9.588551115,11.50287249,0.382638303026069,0.298558929880127,8.10274884937645
"GSM672774",9.265559851,11.26426877,13.56651933,9.496931227,11.65469554,0.434781762557068,0.164212926824216,7.69471827418885
"GSM672775",8.994675465,11.4285632,13.34118773,9.608206877,11.63001524,0.485268732489889,0.0369342071555334,7.3081521835405
"GSM672778",9.545039405,10.97578959,13.89249665,9.613957249,11.25086022,0.138472812975105,1.08720634811937,10.4979988185955
"GSM672779",9.491711524,10.71597138,13.6744539,9.663977323,11.43100372,0.224187683207747,0.758126316836914,9.49852945298252
"GSM672780",10.01006208,10.63562082,13.8692948,9.786729368,11.47546394,0.0850118897047112,1.37212740533611,11.363350226265
"GSM672781",9.759085316,10.6408119,13.94646394,9.775313755,11.51118996,0.155158725402814,1.01455615010365,10.2773483979685
"GSM672782",9.452549814,11.05744312,14.19545279,9.862908178,11.57041264,0.258271663161489,0.648682951224493,9.16613222191106
"GSM672783",9.356207435,11.00363941,13.94779572,9.759736431,11.58256431,0.318796701589776,0.471066281327798,8.62668162172689
"GSM672784",9.383142193,10.69497435,13.74509665,9.77656171,11.78330967,0.394028321394175,0.268835020255955,8.01247252060672
"GSM672785",9.307943123,11.0569171,13.47196803,9.812004461,11.43575836,0.258923804623645,0.646666808320978,9.16000886930012
"GSM672786",9.015346097,11.21184758,12.53577732,9.918536803,11.80505465,0.499701587354647,0.00074800964410289,7.19824883957353
"GSM672789",9.322251301,11.32477955,14.37361413,9.537186989,11.57153606,0.373943838804062,0.321425874429224,8.17219946439228
"GSM672790",9.647648327,11.60009591,14.33275836,9.75460855,11.61259814,0.238388220906216,0.711496785924374,9.3569080136677
"GSM672791",9.608845725,11.1695632,13.69168178,9.734589219,11.52100074,0.212468826903205,0.797884267670838,9.61928079041007
"GSM672792",9.677058364,11.3353487,14.00014721,9.734589219,11.48629777,0.176633512049001,0.928270978783038,10.0152863545636
"GSM672793",9.441220446,11.54474833,14.31325613,9.868152788,11.42249628,0.193424323739606,0.865346478664238,9.82417445400204
"GSM672794",9.169653903,11.98045539,14.58543234,9.733342007,11.59268067,0.393435184790448,0.270376822091131,8.01715522255037
"GSM672795",8.818431227,11.25331078,12.3749816,10.52528401,11.58508885,0.475092364821604,0.0624747997142827,7.38572310068972
"GSM672797",9.389882528,11.2080881,14.4894368,9.500127695,11.67249498,0.406514480619239,0.236520294477875,7.91432746346816
"GSM672798",9.39121487,11.1649145,14.39951896,9.625894424,11.57153606,0.331516377690485,0.435729836642332,8.51935911475141
"GSM672799",9.60756803,11.30964275,14.35627175,9.941332342,11.70737026,0.251167146030035,0.670821432766435,9.23337037676394
"GSM672800",9.687145353,11.29829572,14.19849442,9.826052045,11.56050372,0.184598983247011,0.897976709355081,9.92327775067212
"GSM672801",9.784247584,11.53286245,13.83859442,9.818199628,11.73722937,0.239609028918763,0.707560776615084,9.34495371576614
"GSM672802",9.57370223,11.7975223,14.5973803,9.917216729,11.63374164,0.233960741735164,0.72586508348681,9.40054686101344
"GSM672803",9.401242751,11.7195487,14.50400372,9.812004461,11.57506468,0.288910483001007,0.556570423732411,8.88637155378804
"GSM672804",9.180263569,11.65592045,14.01388922,9.77055632,11.56554647,0.371965990403138,0.32665084710625,8.18806855285231
"GSM672805",9.009402602,11.72986729,13.44724164,9.981542379,11.58508885,0.416558631137438,0.210705269729187,7.83592305130038
"GSM672806",9.125550186,11.07735651,11.91770855,10.02511822,11.59707881,0.371302399276943,0.328405878893393,8.19339886870311
"GSM672811",8.879577695,12.03426766,14.5149171,9.765004461,11.56918327,0.480106284331238,0.0498868346571596,7.34749141157455
"GSM672812",8.857243123,11.81549405,14.70664796,9.806930483,11.4039948,0.422781328770635,0.19478322209483,7.78756521328039
